Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабич,Панас,Максимович,Чоловіча,25-12-1946,Складальник,хутір Сміла,"сквер 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 539, Новоукраїнка, 51145",+380 85 242-41-46,iaryna51@example.com
Бабко,Онисим,Семенович,Чоловіча,22-06-1959,Випробувач,село Корець,"проспект Навігаційний, буд. 8, Надвірна, 84737",+380 27 535-86-45,iefremzakharenko@example.net
Єресько,Гаврило,Олегович,Чоловіча,22-03-1993,Менеджер,село Чорноморськ,"вулиця Хімічна, буд. 790 кв. 289, Сватове, 82600",+380 27 415-24-21,uhavrylyshyn@example.com
Скирда,Борис,Іванович,Чоловіча,02-07-1953,Кушнір,селище Вуглегірськ,"проспект Павла Кравцова, буд. 623 кв. 561, Благовіщенське, 85978",690-09-65,halynaskyrda@example.com
Асаула,Ірена,Олегівна,Жіноча,11-06-1942,Паблік рилейшнз,село Зіньків,"сквер Ушинського, буд. 211, Нова Одеса, 62547",021 464 81 18,orobetsstanislav@example.org
Дахно,Емілія,Семенівна,Жіноча,23-04-1985,Пілот,селище Самбір,"площа Кривобалківська, буд. 433, Тиврів, 49335",116-74-58,nbarannyk@example.com
Петренко,Марія,Анатоліївна,Жіноча,05-09-1976,Архітектор,місто Почаїв,"площа Осіння, буд. 89 кв. 3, Шпола, 38937",+380 51 815-19-29,makarieroshenko@example.com
Байрак,Марʼяна,Василівна,Жіноча,16-03-1949,Слідчий,селище Білицьке,"провулок 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 3, Долина, 21353",+380 51 852-32-52,pavlykpanteleimon@example.com
Іваничук,Хома,Ігорович,Чоловіча,11-06-1990,Геолог,місто Корюківка,"набережна Костанді 3-й, буд. 011, Миргород, 69209",616 25 63,miroshnychenkovasyl@example.com
Баранник,Ілля,Олександрович,Чоловіча,26-02-1989,Мінералог,село Бобринець,"шосе Обліпихова, буд. 371 кв. 9, Ічня, 02292",084 061 63 73,iaremchukruslan@example.org
Дурдинець,Вʼячеслав,Петрович,Чоловіча,26-11-1969,Науковець,селище Копичинці,"площа Новосельского, буд. 51 кв. 096, Умань, 01075",+380 74 198-69-87,nadiia30@example.net
Лазаренко,Орхип,Володимирович,Чоловіча,14-03-1940,Випробувач,село Алчевськ,"сквер Бондарна, буд. 904, Новоазовськ, 38304",+380 80 252 35 99,aneporozhnii@example.net
Міщенко,Дмитро,Ігорович,Чоловіча,23-07-1972,Редактор,місто Зугрес,"вулиця Сім'ї Глодан, буд. 6 кв. 67, Оріхів, 40800",+380 15 117 06 57,hlib27@example.net
Андрійович,Давид,Олександрович,Чоловіча,17-05-1959,Астрофізик,селище Заводське,"набережна Валіховський, буд. 388, Сімферополь, 03754",+380 57 192-61-46,valentynchmil@example.net
Скиба,Едита,Григорівна,Жіноча,22-01-1951,Етнограф,хутір Сокиряни,"набережна Баринштейна, буд. 818 кв. 17, Кобеляки, 26847",009 408-41-19,marusiaabramchuk@example.org
Кабаненко,Тереза,Михайлівна,Жіноча,07-10-1984,Краєзнавець,село Балаклія,"сквер Скрипковий, буд. 31 кв. 49, Путивль, 01705",085 383-24-89,maksymoliinyk@example.net
Доценко,Любов,Григорівна,Жіноча,20-09-1956,Слідчий,селище Лисичанськ,"вулиця Лавкова, буд. 90 кв. 9, Чернігів, 75856",+380 11 008-83-43,egzhytskyi@example.org
Непорожній,Адам,Іванович,Чоловіча,03-10-1971,Каскадер,місто Суходільськ,"набережна Йоганна Ансельма, буд. 6 кв. 83, Тростянець, 91188",697-88-58,hennadii72@example.net
Дейнека,Святослава,Михайлівна,Жіноча,24-04-1940,Кінорежисер,селище Привілля,"шосе Західний 2-й, буд. 89, Бердичів, 31239",+380 17 116-93-66,holoborodkoieva@example.com
Карась,Богуслав,Сергійович,Чоловіча,06-08-2007,Ветеринар,місто Канів,"сквер Абрикосовий, буд. 4, Буча, 71868",010 215-59-36,lkhrystych@example.org
Шамрай,Венедикт,Олегович,Чоловіча,17-06-1946,Геофізик,місто Харцизьк,"вулиця Палія Семена, буд. 04 кв. 44, Калуш, 09337",+380 (82) 185-31-58,lizaprymachenko@example.net
Зубко,Мирон,Петрович,Чоловіча,10-11-1947,Фармацевт,село Скадовськ,"проспект Чехівського, буд. 6, Курахове, 41763",017 578 54 26,orysiavoblyi@example.com
Мамчур,Опанас,Анатолійович,Чоловіча,16-09-1975,Програміст,хутір Зіньків,"проспект Садиковська, буд. 70, Звенигородка, 17658",026 701 70 80,panas59@example.org
Лавренко,Нестор,Арсенович,Чоловіча,13-08-1946,Продюсер,село Бережани,"узвіз Тракторна, буд. 6 кв. 34, Олешки, 66980",067 770-50-29,kostiantynmakohon@example.com
Андрощук,Світлана,Михайлівна,Жіноча,05-06-1969,Бібліотекар,селище Глобине,"парк Пересипська 9-та, буд. 7, Тисмениця, 49488",580-78-07,vitaliikybkalo@example.com
Ніколюк,Григорій,Юрійович,Чоловіча,12-08-1960,Випробувач,хутір Вижниця,"набережна Бориса Літвака, буд. 7, Бобровиця, 40574",+380 94 544-41-49,zynoviihuzii@example.com
Калениченко,Зиновій,Олегович,Чоловіча,15-11-1997,Музикант,село Ворожба,"сквер Краснова, буд. 97 кв. 05, Вилкове, 34185",528-70-53,vira28@example.com
Матяш,Варфоломій,Григорійович,Чоловіча,12-12-1951,Фізик,село Дубляни,"площа Бутишів, буд. 9, Ровеньки, 90109",942 06 88,viktor34@example.com
Черненко,Руслан,Арсенович,Чоловіча,13-02-1940,Психолог,хутір Немирів,"площа Депутатський, буд. 132 кв. 452, Мала Виска, 91688",+380 05 527-45-97,aaronvasylechko@example.com
Жук,Трохим,Борисович,Чоловіча,24-06-1972,Фермер,село Коростишів,"набережна Фабрична, буд. 718 кв. 039, Сновськ, 91777",+380 18 527-10-24,ypanchuk@example.net
Зінченко,Мирон,Семенович,Чоловіча,11-02-1997,Антрополог,місто Славута,"проспект Лінійний, буд. 816, Біла Церква, 40466",047 807 50 12,babychenkostepan@example.net
Філіпенко,Марта,Максимівна,Жіноча,15-05-1985,Дипломат,хутір Христинівка,"проспект Восьмого березня 6-й, буд. 67, Ходорів, 70187",095 891 46 56,khomykherman@example.org
Джус,Богодар,Григорійович,Чоловіча,22-11-1940,Правник,місто Прип'ять,"провулок Перепечка, буд. 9 кв. 050, Кролевець, 37436",+380 60 639-62-08,verkhovynetsdemyd@example.org
Гриценко,Данна,Михайлівна,Жіноча,26-11-1999,Кухар,хутір Нова Одеса,"парк Старокінний, буд. 776, Золочів, 71244",804 31 70,msaienko@example.com
Вернидуб,Емілія,Семенівна,Жіноча,03-04-1939,Фермер,селище Винники,"вулиця Поліська, буд. 7, Володимир-Волинський, 86758",+380 41 476-37-30,artymyshynavhustyn@example.net
Сагаль,Анастасія,Григорівна,Жіноча,08-06-2008,Патологоанатом,село Дубляни,"площа Крайня, буд. 879, Теплодар, 76497",+380 25 297-46-98,hermanchmil@example.org
Ейбоженко,Варфоломій,Семенович,Чоловіча,22-07-1955,Дизайнер,селище Збараж,"проспект Радіальна, буд. 079 кв. 92, Барвінкове, 06618",+380 44 876-37-36,alevtyn14@example.net
Сірко,Лариса,Василівна,Жіноча,24-05-1979,Єгер,хутір Кам'янець-Подільський,"шосе Середньофонтанська, буд. 219, Карлівка, 92909",059 145 99 31,anton20@example.org
Дергач,Маруся,Григорівна,Жіноча,15-11-1969,Бібліотекар,село Острог,"парк Райдужна, буд. 670 кв. 602, Бібрка, 28026",342 77 75,andriibandera@example.com
Аврамчук,Валерій,Юрійович,Чоловіча,09-04-1981,Стоматолог,село Костянтинівка,"сквер Селищна, буд. 89 кв. 6, Бунге, 43098",+380 (41) 670-62-57,ddavymuka@example.com
Василашко,Любов,Семенівна,Жіноча,31-08-2002,Нотаріус,селище Тернівка,"набережна Пироговський, буд. 223, Чистякове, 66296",094 833 68 57,stepandzhus@example.net
Рак,Опанас,Юрійович,Чоловіча,22-09-1997,Няня,хутір Апостолове,"набережна Зої Бутенко, буд. 991, Привілля, 45631",095 998 26 91,okhrimzabarnyi@example.org
